213	7

283	7

346	9

441	19

504	18

555	18

631	20

682	24

720	24

784	25

878	29

1082	35

1240	37

1436	44

1513	48

1735	54

1830	55

1975	62

2111	62

2244	67

2396	72

2548	86

